menu_id;nama_minuman;kategori;rasa_asam;rasa_manis;rasa_pahit;rasa_gurih;tekstur;temperatur;temperatur_opsi;kafein;bahan_utama;topping;carbonated;sweetness_level;harga;popularitas;foto;aroma;flavor_notes
MI_15;TELANG SQUASH;SODA;0.4;0.5;0;0;BUBBLY;Dingin;Dingin;Tidak;Bunga Telang, Soda, Sirup;-;Ya;Low;18000;418;telang_squash.png;rempah;netral
MI_16;CHOCOLATE;COKELAT;0;0.8;0;0.2;CREAMY;Dingin;Dingin;Tidak;Bubuk Cokelat, Air;-;Tidak;High;18000;374;cokelat.png;cokelat;caramelized, chocolaty
MI_17;CRUNCHY CREAMY;COKELAT;0;0.8;0;0.3;CREAMY;Dingin;Dingin;Tidak;Susu, Cokelat Susu;Regal;Tidak;High;20000;395;crunchy_creamy.png;cokelat;caramelized, chocolaty
MI_18;VARIASI PINK;YAKULT;0.3;0.5;0;0;CREAMY;Dingin;Dingin;Tidak;Yakult, Strawberry, Soda, Susu;Nata de Coco, Strawberry;Ya;Medium;25000;436;variasi_pink.png;buah;fruity, creamy
MI_19;TEH;TEA;0.1;0.7;0.1;0.2;LIGHT;Dingin;Dingin, Panas;Ya;Teh;-;Tidak;Medium;7000;9101;teh.png;alami;netral
MI_20;TEH SEREH;TEA;0;0.6;0.2;0.2;LIGHT;Dingin;Dingin, Panas;Ya;Teh, Sereh;-;Tidak;Medium;10000;1058;teh_sereh.png;alami;netral
MI_21;TEH HIJAU;TEA;0.2;0.6;0.3;0.2;LIGHT;Dingin;Dingin, Panas;Ya;Teh Hijau;-;Tidak;Medium;12000;1256;teh_hijau.png;alami;fruity
MI_22;TEH LEMON;TEA;0.7;0.4;0.1;0;LIGHT;Dingin;Dingin, Panas;Ya;Teh, Lemon;-;Tidak;Low;15000;2604;teh_lemon.png;buah;fruity
MI_23;TEH JAHE;TEA;0.3;0.4;0.1;0;LIGHT;Dingin;Dingin, Panas;Ya;Teh, Jahe;-;Tidak;Low;15000;244;teh_jahe.png;alami;netral
MI_24;TEH JAHE SEREH;TEA;0.4;0.4;0.2;0;LIGHT;Dingin;Dingin, Panas;Ya;Teh, Jahe, Sereh;-;Tidak;Low;18000;17;teh_sereh.png;alami;netral
MI_25;TEH LECI;TEA;0.4;0.5;0.1;0;LIGHT;Dingin;Dingin;Ya;Teh, Leci;-;Tidak;Medium;18000;1684;teh_lychee.png;buah;fruity
MI_26;TEH STRAWBERRY;TEA;0.3;0.5;0.1;0;LIGHT;Dingin;Dingin;Ya;Teh, Strawberry;-;Tidak;Low;18000;480;teh_strawberry.png;buah;fruity
MI_27;JAHE MERAH;HERBAL;0.4;0.4;0.1;0;LIGHT;Dingin;Dingin, Panas;Tidak;Jahe Merah;-;Tidak;Medium;15000;644;jahe_merah.png;alami;netral
MI_28;LEMON KISS;MOCKTAIL;0.7;0.5;0;0;LIGHT;Dingin;Dingin;Tidak;Lemon, Soda, Sirup;-;Ya;Medium;15000;1450;lemon_kiss.png;buah;fruity
MI_29;BANANA;SMOOTHIES;0;0.9;0;0.1;HEAVY;Dingin;Dingin;Tidak;Pisang, Susu;-;Tidak;High;20000;8;banana.png;buah;creamy, fruity
MI_30;AVOCADO;SMOOTHIES;0;0.8;0;0.3;HEAVY;Dingin;Dingin;Tidak;Alpukat, Susu;-;Tidak;High;20000;18;avocado.png;buah;creamy, fruity
MI_31;MANGO;SMOOTHIES;0.2;0.8;0;0;HEAVY;Dingin;Dingin;Tidak;Mangga, Susu;-;Tidak;High;20000;230;mango.png;buah;creamy, fruity
MI_32;STRAWBERRY;SMOOTHIES;0.2;0.7;0;0;HEAVY;Dingin;Dingin;Tidak;Strawberry, Susu;-;Tidak;High;20000;729;strawberry.png;buah;creamy, fruity
