user_id,taste,mood,texture,caffeine,temperature,budget,selected_items
23,manis,manis,creamy,non-kafein,bebas,mid,"['AVOCADO', 'BANANA', 'MANGO', 'BISCOFFEE', 'STRAWBERRY', 'CRUNCHY CREAMY']"
24,manis,energi,heavy,rendah,dingin,bebas,"['BISCOFFEE', 'CRUNCHY CREAMY', 'AVOCADO']"
25,pahit,rileks,light,sedang,panas,bebas,"['TEH JAHE', 'KOPI GULA AREN', 'KOPI SUSU']"
26,asam,menyegarkan,bubbly,sedang,dingin,bebas,"['SANGER', 'CAPPUCCINO', 'TEH SEREH', 'AMERICANO', 'MOCHACCINO', 'KOPI SUSU']"
27,asam,menyegarkan,light,sedang,dingin,high,"['KOPI LEMON', 'LYCHEE SQUASH', 'LEMON KISS']"
28,netral,energi,light,sedang,panas,mid,"['BERRY SQUASH', 'TELANG SQUASH', 'SANGER']"
29,manis,menyegarkan,light,rendah,dingin,mid,"['BISCOFFEE', 'CRUNCHY CREAMY', 'MANGO', 'STRAWBERRY', 'BANANA']"
30,manis,energi,creamy,rendah,bebas,high,"['KOPI GULA AREN', 'BANANA', 'TEH']"
31,pahit,energi,light,tinggi,panas,mid,"['TEH JAHE SEREH', 'TEH SEREH', 'KOPI SODA', 'MOCHACCINO', 'TEH']"
32,manis,energi,creamy,tinggi,panas,mid,"['BISCOFFEE', 'CHOCOLATE', 'BANANA']"
33,pahit,rileks,bubbly,non-kafein,bebas,bebas,"['KOPI GULA AREN', 'ESPRESSO', 'TEH LECI', 'JAHE MERAH', 'TEH', 'KOPI LEMON']"
34,asam,menyegarkan,bubbly,non-kafein,dingin,high,"['LYCHEE SQUASH', 'MACCHIATO', 'VARIASI PINK', 'TELANG SQUASH', 'TEH']"
35,netral,menyegarkan,creamy,sedang,dingin,mid,"['TELANG SQUASH', 'TEH SEREH', 'JAHE MERAH', 'TEH LEMON', 'TEH']"
36,manis,rileks,light,rendah,bebas,high,"['KOPI GULA AREN', 'AVOCADO', 'MANGO', 'STRAWBERRY']"
37,pahit,rileks,bubbly,sedang,panas,mid,"['MOCHACCINO', 'TEH SEREH', 'ESPRESSO', 'KOPI SODA']"
38,pahit,rileks,bubbly,sedang,panas,high,"['MACCHIATO', 'TEH SEREH', 'ESPRESSO', 'SANGER', 'TEH LEMON']"
39,asam,menyegarkan,heavy,rendah,dingin,low,"['LEMON SQUASH', 'BERRY SQUASH', 'BANANA', 'LEMON KISS', 'TEH STRAWBERRY', 'CAPPUCCINO']"
40,asam,menyegarkan,light,rendah,dingin,mid,"['KOPI LEMON', 'TEH HIJAU', 'TEH', 'TEH LECI']"
41,asam,menyegarkan,light,tinggi,dingin,bebas,"['TEH LEMON', 'KOPI LEMON', 'LEMON SQUASH', 'TEH', 'TEH HIJAU', 'TEH STRAWBERRY']"
42,manis,rileks,light,non-kafein,dingin,high,"['STRAWBERRY', 'CHOCOLATE', 'AVOCADO', 'BANANA', 'TEH']"
43,pahit,rileks,light,sedang,dingin,mid,"['AMERICANO', 'KOPI LEMON', 'KOPI SUSU', 'MACCHIATO']"
44,manis,energi,creamy,tinggi,dingin,high,"['TEH', 'BISCOFFEE', 'CRUNCHY CREAMY']"
45,pahit,rileks,creamy,sedang,panas,high,"['KOPI GULA AREN', 'JAHE MERAH', 'MOCHACCINO', 'MACCHIATO']"
46,pahit,manis,creamy,tinggi,dingin,low,"['TEH SEREH', 'TEH HIJAU', 'CAPPUCCINO', 'MACCHIATO', 'TEH JAHE SEREH', 'TEH LEMON']"
47,asam,menyegarkan,bubbly,rendah,dingin,low,"['LYCHEE SQUASH', 'KOPI LEMON', 'CAPPUCCINO']"
48,manis,rileks,light,non-kafein,bebas,high,"['MANGO', 'BISCOFFEE', 'KOPI GULA AREN', 'CHOCOLATE']"
49,manis,energi,creamy,sedang,panas,bebas,"['KOPI GULA AREN', 'BISCOFFEE', 'TEH']"
50,netral,manis,heavy,sedang,bebas,bebas,"['JAHE MERAH', 'VARIASI PINK', 'TEH SEREH', 'TEH', 'KOPI GULA AREN', 'TEH LEMON']"
51,pahit,energi,heavy,sedang,dingin,high,"['SANGER', 'KOPI GULA AREN', 'KOPI SODA', 'TEH STRAWBERRY', 'TEH LEMON', 'JAHE MERAH']"
52,pahit,rileks,light,sedang,bebas,bebas,"['KOPI GULA AREN', 'TEH JAHE', 'KOPI LEMON', 'KOPI SODA']"
53,manis,rileks,bubbly,tinggi,dingin,low,"['BISCOFFEE', 'MANGO', 'STRAWBERRY', 'TEH']"
54,manis,menyegarkan,heavy,non-kafein,dingin,low,"['AVOCADO', 'TEH', 'BISCOFFEE', 'MANGO', 'CRUNCHY CREAMY']"
55,netral,rileks,creamy,sedang,dingin,low,"['JAHE MERAH', 'LEMON SQUASH', 'TEH LECI', 'TEH STRAWBERRY']"
56,pahit,energi,light,rendah,panas,low,"['TEH HIJAU', 'KOPI GULA AREN', 'MOCHACCINO', 'TEH LEMON', 'KOPI LEMON']"
57,pahit,manis,bubbly,tinggi,bebas,mid,"['TEH SEREH', 'KOPI SODA', 'MOCHACCINO', 'TEH LEMON', 'TEH', 'TEH HIJAU']"
58,pahit,energi,bubbly,sedang,dingin,bebas,"['TEH', 'AMERICANO', 'KOPI SUSU', 'BISCOFFEE']"
59,pahit,energi,heavy,sedang,bebas,mid,"['MACCHIATO', 'BISCOFFEE', 'SANGER', 'AMERICANO']"
60,pahit,energi,heavy,sedang,bebas,mid,"['KOPI SODA', 'SANGER', 'TEH HIJAU', 'MOCHACCINO']"
61,asam,menyegarkan,creamy,non-kafein,dingin,low,"['LEMON SQUASH', 'BERRY SQUASH', 'TEH LECI', 'TELANG SQUASH', 'VARIASI PINK', 'CAPPUCCINO']"
62,manis,energi,creamy,rendah,panas,high,"['BISCOFFEE', 'MANGO', 'CHOCOLATE']"
63,manis,manis,creamy,non-kafein,panas,high,"['MANGO', 'AVOCADO', 'BISCOFFEE', 'CRUNCHY CREAMY', 'BANANA']"
64,manis,rileks,creamy,non-kafein,dingin,high,"['MANGO', 'TEH', 'AVOCADO', 'CRUNCHY CREAMY', 'KOPI GULA AREN', 'BANANA']"
65,manis,manis,bubbly,rendah,panas,mid,"['BISCOFFEE', 'AVOCADO', 'BANANA', 'CHOCOLATE']"
66,manis,manis,creamy,rendah,bebas,high,"['CHOCOLATE', 'KOPI GULA AREN', 'BANANA', 'BISCOFFEE']"
67,pahit,menyegarkan,creamy,sedang,panas,low,"['ESPRESSO', 'MACCHIATO', 'KOPI GULA AREN', 'TEH STRAWBERRY', 'MOCHACCINO']"
68,manis,manis,creamy,non-kafein,panas,high,"['BANANA', 'CHOCOLATE', 'CRUNCHY CREAMY', 'KOPI GULA AREN', 'TEH', 'AVOCADO']"
69,pahit,rileks,heavy,tinggi,dingin,bebas,"['AMERICANO', 'TEH JAHE', 'TEH HIJAU', 'KOPI SODA']"
70,asam,menyegarkan,light,rendah,panas,mid,"['LEMON SQUASH', 'TEH HIJAU', 'MANGO', 'CAPPUCCINO', 'TEH LECI', 'TEH STRAWBERRY']"
71,netral,energi,heavy,sedang,panas,high,"['TELANG SQUASH', 'KOPI SUSU', 'BERRY SQUASH']"
72,manis,rileks,light,rendah,bebas,mid,"['BISCOFFEE', 'MANGO', 'STRAWBERRY', 'TEH']"
73,manis,menyegarkan,creamy,non-kafein,bebas,low,"['MANGO', 'BANANA', 'AVOCADO', 'CHOCOLATE', 'BISCOFFEE']"
74,asam,menyegarkan,bubbly,rendah,bebas,mid,"['LEMON SQUASH', 'BERRY SQUASH', 'BANANA', 'AMERICANO', 'ESPRESSO']"
75,asam,menyegarkan,bubbly,rendah,dingin,bebas,"['LYCHEE SQUASH', 'KOPI GULA AREN', 'KOPI LEMON', 'LEMON KISS']"
76,netral,rileks,light,sedang,bebas,high,"['JAHE MERAH', 'TEH JAHE SEREH', 'KOPI GULA AREN', 'LEMON KISS']"
77,netral,rileks,creamy,non-kafein,dingin,low,"['TEH JAHE SEREH', 'LEMON KISS', 'LEMON SQUASH', 'TEH LEMON', 'LYCHEE SQUASH']"
78,pahit,rileks,creamy,tinggi,dingin,high,"['TEH STRAWBERRY', 'TEH LEMON', 'TEH SEREH', 'TEH JAHE SEREH']"
79,manis,energi,creamy,non-kafein,bebas,mid,"['CRUNCHY CREAMY', 'MANGO', 'AVOCADO']"
80,manis,manis,creamy,tinggi,bebas,high,"['BISCOFFEE', 'AVOCADO', 'KOPI GULA AREN', 'TEH']"
81,pahit,rileks,heavy,tinggi,panas,high,"['TEH', 'KOPI SODA', 'TEH JAHE SEREH']"
82,manis,manis,creamy,non-kafein,dingin,bebas,"['CHOCOLATE', 'BISCOFFEE', 'CRUNCHY CREAMY', 'AVOCADO', 'BANANA']"
83,pahit,energi,creamy,sedang,panas,mid,"['TEH STRAWBERRY', 'KOPI LEMON', 'MACCHIATO', 'MOCHACCINO']"
84,manis,manis,bubbly,non-kafein,bebas,mid,"['MANGO', 'STRAWBERRY', 'CHOCOLATE']"
85,pahit,rileks,light,tinggi,dingin,high,"['AMERICANO', 'MACCHIATO', 'KOPI SUSU']"
86,netral,rileks,creamy,sedang,dingin,bebas,"['LEMON KISS', 'TEH JAHE SEREH', 'TEH', 'TEH HIJAU']"
87,pahit,energi,light,tinggi,bebas,mid,"['TEH SEREH', 'MOCHACCINO', 'AMERICANO', 'TEH', 'JAHE MERAH']"
88,manis,manis,creamy,rendah,bebas,bebas,"['BISCOFFEE', 'CHOCOLATE', 'BANANA', 'TEH', 'STRAWBERRY', 'CRUNCHY CREAMY']"
89,pahit,energi,heavy,tinggi,panas,high,"['KOPI LEMON', 'MACCHIATO', 'TEH STRAWBERRY', 'KOPI SUSU', 'TEH LECI']"
90,netral,energi,light,non-kafein,dingin,mid,"['KOPI LEMON', 'STRAWBERRY', 'TEH SEREH', 'TEH LEMON', 'LEMON KISS', 'KOPI SUSU']"
91,asam,manis,bubbly,rendah,dingin,high,"['LYCHEE SQUASH', 'MACCHIATO', 'MOCHACCINO', 'TEH LECI', 'KOPI LEMON', 'BERRY SQUASH']"
92,netral,manis,light,rendah,dingin,bebas,"['TEH STRAWBERRY', 'VARIASI PINK', 'TEH LEMON', 'JAHE MERAH', 'TEH JAHE', 'TEH HIJAU']"
93,pahit,energi,heavy,tinggi,bebas,low,"['TEH STRAWBERRY', 'MOCHACCINO', 'AMERICANO', 'KOPI GULA AREN', 'KOPI SODA']"
94,manis,rileks,creamy,rendah,panas,mid,"['BISCOFFEE', 'CHOCOLATE', 'CRUNCHY CREAMY', 'BANANA', 'AVOCADO', 'MANGO']"
95,netral,energi,creamy,rendah,panas,mid,"['LEMON KISS', 'MOCHACCINO', 'TEH JAHE']"
96,pahit,energi,bubbly,sedang,bebas,high,"['KOPI LEMON', 'ESPRESSO', 'SANGER', 'TEH STRAWBERRY']"
97,asam,menyegarkan,bubbly,rendah,bebas,high,"['LYCHEE SQUASH', 'TEH LECI', 'AVOCADO']"
98,pahit,energi,light,tinggi,dingin,low,"['KOPI GULA AREN', 'TEH LEMON', 'BISCOFFEE']"
99,netral,energi,bubbly,rendah,bebas,bebas,"['JAHE MERAH', 'TEH SEREH', 'SANGER']"
100,netral,rileks,creamy,rendah,panas,high,"['LEMON KISS', 'TEH SEREH', 'TEH JAHE', 'TEH STRAWBERRY', 'KOPI GULA AREN', 'KOPI SUSU']"
101,pahit,energi,light,sedang,dingin,mid,"['KOPI SODA', 'SANGER', 'ESPRESSO', 'TEH JAHE SEREH']"
102,manis,rileks,light,non-kafein,dingin,mid,"['CRUNCHY CREAMY', 'TEH', 'CHOCOLATE', 'AVOCADO', 'MANGO', 'BANANA']"
103,asam,menyegarkan,bubbly,non-kafein,dingin,high,"['MANGO', 'BANANA', 'JAHE MERAH', 'TELANG SQUASH', 'STRAWBERRY', 'TEH HIJAU']"
104,asam,menyegarkan,light,rendah,dingin,mid,"['LYCHEE SQUASH', 'TEH', 'KOPI GULA AREN', 'KOPI LEMON']"
105,asam,menyegarkan,bubbly,non-kafein,bebas,bebas,"['LYCHEE SQUASH', 'LEMON KISS', 'MANGO', 'VARIASI PINK']"
106,pahit,energi,light,tinggi,panas,high,"['TEH JAHE', 'KOPI LEMON', 'TEH LECI', 'TEH', 'BISCOFFEE', 'MOCHACCINO']"
107,netral,energi,light,sedang,panas,mid,"['STRAWBERRY', 'JAHE MERAH', 'LYCHEE SQUASH']"
108,netral,energi,creamy,sedang,dingin,high,"['BERRY SQUASH', 'TEH', 'KOPI LEMON', 'TEH JAHE', 'MACCHIATO']"
109,netral,manis,light,rendah,panas,high,"['TEH LECI', 'KOPI LEMON', 'LEMON SQUASH', 'TEH HIJAU', 'STRAWBERRY', 'TEH JAHE SEREH']"
110,netral,manis,creamy,non-kafein,dingin,low,"['TEH STRAWBERRY', 'TEH HIJAU', 'LEMON SQUASH', 'LEMON KISS', 'JAHE MERAH', 'STRAWBERRY']"
111,manis,manis,light,tinggi,panas,bebas,"['BISCOFFEE', 'AVOCADO', 'KOPI GULA AREN', 'BANANA', 'TEH', 'CRUNCHY CREAMY']"
112,pahit,rileks,bubbly,sedang,panas,bebas,"['MOCHACCINO', 'AMERICANO', 'CAPPUCCINO', 'JAHE MERAH']"
113,pahit,energi,bubbly,tinggi,panas,high,"['TEH LEMON', 'BISCOFFEE', 'TEH JAHE SEREH', 'TEH LECI', 'CAPPUCCINO']"
114,asam,menyegarkan,bubbly,rendah,dingin,mid,"['BERRY SQUASH', 'CHOCOLATE', 'KOPI LEMON', 'MACCHIATO', 'LYCHEE SQUASH', 'TEH STRAWBERRY']"
115,netral,rileks,light,sedang,dingin,low,"['VARIASI PINK', 'TEH HIJAU', 'SANGER', 'LEMON KISS', 'STRAWBERRY', 'TEH LECI']"
116,manis,manis,creamy,tinggi,panas,high,"['TEH', 'AVOCADO', 'MANGO', 'CRUNCHY CREAMY']"
117,netral,rileks,creamy,non-kafein,dingin,mid,"['MOCHACCINO', 'BERRY SQUASH', 'LYCHEE SQUASH', 'LEMON KISS', 'LEMON SQUASH', 'MACCHIATO']"
118,netral,energi,heavy,non-kafein,dingin,high,"['KOPI LEMON', 'LEMON SQUASH', 'STRAWBERRY']"
119,netral,rileks,light,rendah,bebas,bebas,"['LEMON KISS', 'LYCHEE SQUASH', 'TELANG SQUASH', 'MACCHIATO']"
120,asam,menyegarkan,creamy,sedang,dingin,bebas,"['MACCHIATO', 'CHOCOLATE', 'VARIASI PINK']"
121,pahit,manis,creamy,sedang,panas,mid,"['SANGER', 'ESPRESSO', 'BISCOFFEE', 'KOPI LEMON', 'MOCHACCINO', 'TEH LECI']"
122,asam,menyegarkan,light,non-kafein,dingin,bebas,"['LEMON SQUASH', 'TELANG SQUASH', 'TEH SEREH']"
123,netral,energi,creamy,sedang,dingin,bebas,"['JAHE MERAH', 'TEH JAHE', 'STRAWBERRY']"
124,asam,menyegarkan,light,non-kafein,dingin,high,"['LYCHEE SQUASH', 'TEH', 'TEH STRAWBERRY', 'TELANG SQUASH']"
125,netral,rileks,light,rendah,panas,high,"['JAHE MERAH', 'KOPI LEMON', 'LYCHEE SQUASH', 'LEMON SQUASH']"
126,pahit,energi,heavy,tinggi,dingin,mid,"['AMERICANO', 'KOPI SUSU', 'KOPI LEMON']"
127,pahit,energi,creamy,sedang,bebas,high,"['ESPRESSO', 'TEH JAHE', 'KOPI LEMON', 'KOPI GULA AREN', 'BISCOFFEE']"
128,manis,manis,creamy,rendah,dingin,mid,"['KOPI GULA AREN', 'CHOCOLATE', 'TEH', 'BANANA', 'AVOCADO']"
129,pahit,rileks,bubbly,tinggi,panas,bebas,"['ESPRESSO', 'CAPPUCCINO', 'TEH STRAWBERRY', 'KOPI LEMON', 'SANGER', 'MOCHACCINO']"
130,manis,menyegarkan,creamy,sedang,panas,high,"['KOPI GULA AREN', 'BISCOFFEE', 'MANGO', 'CHOCOLATE', 'AVOCADO']"
131,manis,manis,creamy,rendah,dingin,bebas,"['KOPI GULA AREN', 'AVOCADO', 'TEH', 'BANANA', 'MANGO']"
132,asam,menyegarkan,bubbly,tinggi,dingin,high,"['KOPI LEMON', 'BANANA', 'TEH LEMON']"
133,netral,energi,creamy,tinggi,bebas,mid,"['JAHE MERAH', 'TEH HIJAU', 'KOPI GULA AREN', 'TEH', 'MACCHIATO', 'TELANG SQUASH']"
134,asam,menyegarkan,light,non-kafein,dingin,bebas,"['VARIASI PINK', 'TELANG SQUASH', 'CAPPUCCINO']"
135,pahit,rileks,bubbly,sedang,bebas,mid,"['CAPPUCCINO', 'AMERICANO', 'TEH STRAWBERRY', 'TEH JAHE SEREH']"
136,pahit,rileks,bubbly,sedang,panas,bebas,"['TEH HIJAU', 'KOPI SUSU', 'KOPI SODA']"
137,netral,rileks,light,sedang,dingin,high,"['LYCHEE SQUASH', 'TEH STRAWBERRY', 'JAHE MERAH', 'LEMON KISS']"
138,pahit,energi,light,sedang,panas,high,"['TEH JAHE', 'KOPI LEMON', 'TEH JAHE SEREH', 'CAPPUCCINO']"
139,pahit,rileks,light,sedang,panas,mid,"['ESPRESSO', 'KOPI LEMON', 'TEH SEREH']"
140,netral,energi,creamy,rendah,dingin,high,"['TEH STRAWBERRY', 'MOCHACCINO', 'MACCHIATO', 'TEH LECI', 'STRAWBERRY', 'KOPI GULA AREN']"
141,netral,rileks,light,tinggi,panas,high,"['BERRY SQUASH', 'TELANG SQUASH', 'TEH SEREH']"
142,manis,menyegarkan,light,rendah,bebas,high,"['KOPI GULA AREN', 'TEH', 'STRAWBERRY', 'BISCOFFEE', 'CRUNCHY CREAMY']"
143,manis,manis,creamy,non-kafein,panas,bebas,"['STRAWBERRY', 'CRUNCHY CREAMY', 'BANANA']"
144,pahit,rileks,bubbly,tinggi,dingin,bebas,"['TEH JAHE SEREH', 'TEH SEREH', 'SANGER', 'KOPI SUSU', 'TEH STRAWBERRY']"
145,asam,menyegarkan,bubbly,non-kafein,bebas,low,"['BERRY SQUASH', 'LYCHEE SQUASH', 'CHOCOLATE', 'AMERICANO', 'TEH LEMON']"
146,pahit,rileks,heavy,sedang,panas,low,"['MOCHACCINO', 'TEH LEMON', 'KOPI LEMON', 'TEH JAHE SEREH']"
147,asam,manis,light,rendah,dingin,low,"['LYCHEE SQUASH', 'LEMON SQUASH', 'LEMON KISS', 'CHOCOLATE', 'VARIASI PINK', 'TEH LEMON']"
148,pahit,energi,creamy,sedang,panas,mid,"['TEH STRAWBERRY', 'MOCHACCINO', 'TEH LECI']"
149,pahit,rileks,bubbly,non-kafein,panas,low,"['KOPI LEMON', 'SANGER', 'AMERICANO', 'MACCHIATO']"
150,netral,rileks,creamy,tinggi,panas,high,"['VARIASI PINK', 'TEH LECI', 'TEH JAHE SEREH', 'BERRY SQUASH', 'TEH JAHE']"
151,asam,menyegarkan,bubbly,non-kafein,dingin,high,"['LEMON SQUASH', 'VARIASI PINK', 'TELANG SQUASH', 'TEH', 'LEMON KISS', 'MACCHIATO']"
152,netral,energi,creamy,rendah,panas,high,"['LEMON KISS', 'TEH JAHE', 'TEH HIJAU']"
153,netral,manis,light,rendah,bebas,mid,"['JAHE MERAH', 'MACCHIATO', 'LYCHEE SQUASH', 'TEH HIJAU', 'TEH LEMON', 'BERRY SQUASH']"
154,pahit,energi,creamy,sedang,bebas,high,"['AMERICANO', 'TEH HIJAU', 'KOPI SUSU']"
155,netral,energi,creamy,sedang,dingin,mid,"['JAHE MERAH', 'BERRY SQUASH', 'TELANG SQUASH']"
156,pahit,energi,bubbly,sedang,bebas,bebas,"['TEH STRAWBERRY', 'CAPPUCCINO', 'MACCHIATO']"
157,pahit,rileks,bubbly,sedang,bebas,high,"['TEH LEMON', 'JAHE MERAH', 'SANGER', 'CAPPUCCINO', 'KOPI SUSU']"
158,netral,energi,creamy,tinggi,dingin,high,"['VARIASI PINK', 'TEH STRAWBERRY', 'KOPI LEMON']"
159,manis,energi,creamy,non-kafein,dingin,high,"['BANANA', 'TEH', 'CHOCOLATE']"
160,manis,manis,bubbly,non-kafein,dingin,mid,"['CRUNCHY CREAMY', 'STRAWBERRY', 'KOPI GULA AREN', 'MANGO', 'AVOCADO', 'BANANA']"
161,netral,energi,light,rendah,bebas,mid,"['TEH STRAWBERRY', 'KOPI SUSU', 'VARIASI PINK']"
162,netral,energi,light,rendah,dingin,bebas,"['JAHE MERAH', 'LYCHEE SQUASH', 'TEH JAHE', 'STRAWBERRY', 'TEH STRAWBERRY', 'TEH JAHE SEREH']"
163,netral,manis,bubbly,sedang,bebas,bebas,"['BERRY SQUASH', 'TEH LECI', 'TELANG SQUASH', 'LEMON KISS', 'TEH LEMON', 'TEH JAHE SEREH']"
164,asam,menyegarkan,light,rendah,dingin,mid,"['LEMON SQUASH', 'LYCHEE SQUASH', 'AMERICANO']"
165,pahit,rileks,creamy,sedang,bebas,high,"['KOPI GULA AREN', 'BISCOFFEE', 'TEH HIJAU', 'TEH LECI']"
166,manis,menyegarkan,creamy,tinggi,bebas,high,"['BISCOFFEE', 'CRUNCHY CREAMY', 'BANANA', 'TEH', 'KOPI GULA AREN']"
167,netral,energi,creamy,sedang,dingin,mid,"['LYCHEE SQUASH', 'KOPI GULA AREN', 'VARIASI PINK']"
168,manis,manis,creamy,non-kafein,dingin,low,"['AVOCADO', 'STRAWBERRY', 'KOPI GULA AREN', 'MANGO', 'TEH', 'CRUNCHY CREAMY']"
169,netral,menyegarkan,creamy,sedang,panas,high,"['BERRY SQUASH', 'LEMON SQUASH', 'VARIASI PINK', 'TEH LEMON', 'MACCHIATO']"
170,manis,manis,light,rendah,panas,mid,"['CHOCOLATE', 'STRAWBERRY', 'KOPI GULA AREN', 'BISCOFFEE', 'TEH', 'CRUNCHY CREAMY']"
171,manis,rileks,bubbly,non-kafein,panas,low,"['BANANA', 'TEH', 'KOPI GULA AREN', 'MANGO']"
172,manis,rileks,creamy,rendah,bebas,bebas,"['KOPI GULA AREN', 'CRUNCHY CREAMY', 'STRAWBERRY', 'CHOCOLATE', 'BISCOFFEE']"
173,manis,energi,creamy,rendah,panas,mid,"['BISCOFFEE', 'TEH', 'CHOCOLATE']"
174,manis,rileks,creamy,rendah,panas,low,"['KOPI GULA AREN', 'MANGO', 'AVOCADO', 'CHOCOLATE']"
175,manis,rileks,creamy,rendah,panas,mid,"['BISCOFFEE', 'MANGO', 'CHOCOLATE', 'BANANA', 'AVOCADO']"
176,asam,menyegarkan,creamy,tinggi,dingin,high,"['KOPI GULA AREN', 'TEH LECI', 'TEH LEMON', 'BERRY SQUASH', 'STRAWBERRY']"
177,manis,rileks,light,rendah,bebas,low,"['KOPI GULA AREN', 'CHOCOLATE', 'BISCOFFEE', 'STRAWBERRY', 'AVOCADO']"
178,asam,menyegarkan,light,non-kafein,dingin,bebas,"['BERRY SQUASH', 'TELANG SQUASH', 'VARIASI PINK', 'LYCHEE SQUASH']"
179,pahit,rileks,bubbly,tinggi,panas,high,"['ESPRESSO', 'JAHE MERAH', 'TEH STRAWBERRY', 'BISCOFFEE']"
180,pahit,rileks,creamy,tinggi,panas,low,"['KOPI SODA', 'KOPI LEMON', 'MACCHIATO']"
181,netral,menyegarkan,heavy,non-kafein,dingin,bebas,"['SANGER', 'TEH STRAWBERRY', 'TEH LECI', 'STRAWBERRY', 'KOPI SUSU']"
182,asam,menyegarkan,light,non-kafein,dingin,mid,"['BANANA', 'LYCHEE SQUASH', 'LEMON KISS']"
183,asam,rileks,creamy,rendah,dingin,high,"['BERRY SQUASH', 'VARIASI PINK', 'KOPI GULA AREN', 'LYCHEE SQUASH']"
184,netral,manis,light,rendah,dingin,high,"['JAHE MERAH', 'LYCHEE SQUASH', 'TEH JAHE', 'TEH JAHE SEREH', 'LEMON SQUASH', 'LEMON KISS']"
185,manis,manis,creamy,tinggi,panas,mid,"['BISCOFFEE', 'AVOCADO', 'KOPI GULA AREN', 'CRUNCHY CREAMY', 'BANANA', 'TEH']"
186,asam,menyegarkan,creamy,sedang,dingin,bebas,"['SANGER', 'KOPI LEMON', 'LEMON SQUASH', 'TEH LEMON']"
187,manis,rileks,creamy,non-kafein,panas,mid,"['STRAWBERRY', 'CRUNCHY CREAMY', 'BANANA', 'TEH']"
188,pahit,rileks,heavy,sedang,bebas,bebas,"['KOPI SODA', 'CAPPUCCINO', 'AMERICANO', 'JAHE MERAH']"
189,netral,energi,creamy,rendah,panas,mid,"['TEH LECI', 'TEH HIJAU', 'TELANG SQUASH']"
